Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","SMD-0805",33.9852,57.0992,90.0000,bottom
"C2","47uF","TantalC_SizeC_Reflow",29.0424,52.7304,180.0000,bottom
"C3","47uF","TantalC_SizeC_Reflow",32.3596,97.6884,90.0000,bottom
"C4","100nF","SMD-0805",35.9664,57.0992,90.0000,bottom
"D1","BZV55C-5,6V","MiniMELF_Standard",33.2232,10.0584,0.0000,bottom
"D2","M4","Diode-SMA_Standard",14.6812,10.8204,180.0000,bottom
"R1","10k","SMD-0805",29.4259,62.2300,180.0000,bottom
"R2","10k","SMD-0805",29.3751,66.2940,180.0000,bottom
"R3","10k","SMD-0805",29.4132,70.3072,180.0000,bottom
"R4","10k","SMD-0805",37.9984,49.2252,180.0000,bottom
"R5","10k","SMD-0805",45.8343,50.8000,0.0000,bottom
"R6","10k","SMD-0805",41.5036,50.7492,0.0000,bottom
"R7","-","SMD-0805",34.1376,76.5683,-90.0000,bottom
"R8","-","SMD-0805",37.8968,76.5556,-90.0000,bottom
"R9","-","SMD-0805",41.5544,76.5556,-90.0000,bottom
"R10","-","SMD-0805",52.6288,76.5556,-90.0000,bottom
"R11","-","SMD-0805",45.2628,76.5556,-90.0000,bottom
"R12","-","SMD-0805",56.1340,76.5556,-90.0000,bottom
"R13","-","SMD-0805",48.9204,76.5556,-90.0000,bottom
"R14","-","SMD-0805",59.7408,76.5556,-90.0000,bottom
"R15","150R","SMD-1206",34.1376,76.5048,-90.0000,bottom
"R16","150R","SMD-1206",37.8968,76.5048,-90.0000,bottom
"R17","150R","SMD-1206",41.5544,76.5048,-90.0000,bottom
"R18","150R","SMD-1206",52.6288,76.4032,-90.0000,bottom
"R19","150R","SMD-1206",45.2628,76.5048,-90.0000,bottom
"R20","150R","SMD-1206",56.1340,76.4032,-90.0000,bottom
"R21","300R","SMD-1206",48.9204,76.4032,-90.0000,bottom
"R22","150R","SMD-1206",59.7408,76.4032,-90.0000,bottom
"R23","0R","SMD-0805",35.8648,38.5572,-90.0000,bottom
"R24","0R","SMD-1206",41.7576,22.0980,90.0000,bottom
"R25","-","SMD-0805",30.3784,64.2620,0.0000,bottom
"R26","-","SMD-0805",30.4292,68.3260,0.0000,bottom
"R27","-","SMD-0805",30.3276,72.2884,0.0000,bottom
"R28","10k","SMD-0805",30.3784,60.1980,0.0000,bottom
"R29","-","SMD-0805",29.4640,58.2168,180.0000,bottom
"R30","10k","SMD-0805",30.4292,56.1848,0.0000,bottom
"R31","-","SMD-0805",35.9664,60.5536,-90.0000,bottom
"R32","-","SMD-0805",24.2316,4.9276,-90.0000,bottom
